sanguine	["chromatic_color.n.01", "red.n.01"]
festschrift	["memorial.n.01", "recognition.n.03"]
gibibit	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
hexapod	["organism.n.01", "animal.n.01"]
microflora	["microorganism.n.01", "plant.n.02", "organism.n.01"]
pointillist	["artist.n.01", "painter.n.01"]
rollerblader	["roller-skater.n.01", "skater.n.01"]
asininity	["folly.n.01", "trait.n.01"]
spyware	["software.n.01", "code.n.03"]
historicism	["hypothesis.n.02", "concept.n.01"]
pluralisation	["inflection.n.01", "grammatical_relation.n.01"]
spinnbarkeit	["spinnability.n.01", "quality.n.01"]
crystallographer	["specialist.n.01", "expert.n.01"]
glucosamine	["group.n.02", "amino.n.01"]
glucosamine	["glucose.n.01", "aldohexose.n.01"]
ophthalmoscopy	["examination.n.01", "investigation.n.02"]
gentlefolk	["folk.n.01", "people.n.01"]
naif	["person.n.01", "innocent.n.01"]
exbibit	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
moonlighter	["worker.n.01", "person.n.01"]
bohemianism	["activity.n.01", "behavior.n.01"]
simper	["facial_expression.n.01", "smile.n.01"]
tall	["property.n.02", "size.n.02"]
underlip	["articulator.n.02", "lip.n.01", "external_body_part.n.01"]
nosedive	["decline.n.01", "decrease.n.02"]
nosedive	["motion.n.06", "descent.n.03"]
telefilm	["movie.n.01", "product.n.02", "show.n.03"]
roadkill	["body.n.03", "natural_object.n.01"]
pomologist	["biologist.n.01", "botanist.n.01"]
contemptuousness	["pride.n.05", "arrogance.n.01"]
tetrodotoxin	["neurotoxin.n.01", "toxin.n.01"]
sextillion	["integer.n.01", "large_integer.n.01"]
toolshed	["shed.n.01", "outbuilding.n.01"]
playmaker	["player.n.01", "contestant.n.01"]
keratohyalin	["transparent_substance.n.01", "hyaline.n.01"]
doxazosin	["antihypertensive.n.01", "medicine.n.02"]
stocktake	["inventory.n.05", "listing.n.02"]
faggoting	["embroidery.n.02", "needlework.n.01"]
kachina	["performer.n.01", "dancer.n.01"]
kachina	["spirit.n.04", "spiritual_being.n.01"]
kachina	["plaything.n.01", "doll.n.01"]
hypertensive	["case.n.06", "patient.n.01", "sick_person.n.01"]
pluralization	["inflection.n.01", "grammatical_relation.n.01"]
zillion	["indefinite_quantity.n.01", "large_indefinite_quantity.n.01"]
psychodynamics	["interrelation.n.01", "relation.n.01"]
psychodynamics	["psychology.n.01", "social_psychology.n.01"]
sonatina	["classical_music.n.01", "sonata.n.01"]
nebule	["cloud.n.02", "atmospheric_phenomenon.n.01"]
idle	["action.n.02", "operation.n.01"]
burnability	["quality.n.01", "attribute.n.02"]
yardbird	["enlisted_man.n.01", "recruit.n.01"]
yardbird	["unfortunate.n.01", "prisoner.n.01"]
taoiseach	["head_of_state.n.01", "chancellor.n.02"]
lemongrass	["lipid.n.01", "oil.n.01"]
lemongrass	["gramineous_plant.n.01", "grass.n.01"]
nonconformism	["orientation.n.02", "unorthodoxy.n.01"]
nonconformism	["activity.n.01", "practice.n.01"]
evolutionist	["believer.n.01", "supporter.n.01"]
mendicity	["poverty.n.01", "indigence.n.01"]
septillion	["integer.n.01", "large_integer.n.01"]
fetch	["act.n.02", "action.n.01"]
timeline	["written_record.n.01", "chronology.n.02"]
arccotangent	["trigonometric_function.n.01", "function.n.01"]
brooklet	["stream.n.01", "brook.n.01"]
perishable	["foodstuff.n.02", "food.n.01"]
moppet	["female.n.02", "female_child.n.01"]
roentgenium	["substance.n.01", "chemical_element.n.01"]
matchmaking	["intervention.n.01", "mediation.n.02"]
apparatchik	["skilled_worker.n.01", "official.n.01"]
apparatchik	["communist.n.02", "socialist.n.01"]
distressingness	["quality.n.01", "attribute.n.02"]
elective	["course.n.01", "education.n.01"]
advisory	["announcement.n.02", "statement.n.01"]
quesadilla	["burrito.n.01", "dish.n.02"]
subtotal	["sum.n.02", "quantity.n.03"]
garnishee	["earner.n.01", "jobholder.n.01"]
countryfolk	["group.n.01", "citizenry.n.01", "folk.n.01", "people.n.01"]
tadalafil	["virility_drug.n.01", "drug.n.01"]
druidism	["religion.n.01", "paganism.n.01"]
immunocompetence	["quality.n.01", "ability.n.01"]
gimcrack	["artifact.n.01", "decoration.n.01"]
luau	["party.n.04", "fete.n.01"]
mumble	["utterance.n.01", "auditory_communication.n.01"]
audible	["play.n.03", "football_play.n.01"]
segue	["passage.n.01", "change_of_state.n.01"]
varietal	["alcohol.n.01", "wine.n.01"]
alcalde	["judge.n.01", "adjudicator.n.01", "official.n.01"]
alcalde	["civil_authority.n.01", "mayor.n.01", "politician.n.01"]
great	["achiever.n.01", "person.n.01"]
minimus	["extremity.n.01", "digit.n.03"]
symbology	["discipline.n.01", "ology.n.01"]
recessive	["allele.n.01", "gene.n.01"]
mnemonic	["device.n.03", "maneuver.n.04"]
ambulatory	["path.n.02", "walk.n.05"]
philogyny	["admiration.n.01", "liking.n.01"]
impeccability	["propriety.n.01", "correctness.n.02"]
impeccability	["morality.n.01", "righteousness.n.01"]
iterative	["grammatical_relation.n.01", "aspect.n.04"]
caulking	["sealant.n.01", "sealing_material.n.01"]
gigabit	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
geneticism	["content.n.05", "belief.n.01"]
thunderhead	["cumulus.n.01", "cloud.n.02"]
transgene	["sequence.n.01", "gene.n.01"]
forager	["hunter.n.02", "seeker.n.01"]
mixology	["skill.n.01", "ability.n.02"]
lentisk	["shrub.n.01", "woody_plant.n.01"]
foppishness	["demeanor.n.01", "manner.n.02"]
squish	["noise.n.01", "sound.n.04"]
shinny	["field_game.n.01", "field_hockey.n.01"]
stratigraphy	["geology.n.01", "earth_science.n.01"]
housemate	["inhabitant.n.01", "resident.n.01"]
valgus	["affliction.n.02", "deformity.n.01"]
symphonist	["musician.n.02", "composer.n.01"]
chorizo	["meat.n.01", "sausage.n.01"]
khakis	["uniform.n.01", "military_uniform.n.01"]
khakis	["artifact.n.01", "fabric.n.01"]
levator	["contractile_organ.n.01", "muscle.n.01"]
extensiveness	["magnitude.n.03", "importance.n.01"]
colchicine	["analgesic.n.01", "medicine.n.02"]
infinitesimal	["variable.n.02", "quantity.n.03"]
svoboda	["state.n.02", "freedom.n.01"]
asthmatic	["organism.n.01", "causal_agent.n.01", "person.n.01"]
lingual	["consonant.n.01", "phone.n.02"]
arcsin	["trigonometric_function.n.01", "function.n.01"]
overlip	["articulator.n.02", "lip.n.01", "external_body_part.n.01"]
detumescence	["decline.n.01", "decrease.n.02"]
semimonthly	["series.n.03", "periodical.n.01"]
octillion	["integer.n.01", "large_integer.n.01"]
orangery	["greenhouse.n.01", "building.n.01"]
orangery	["estate.n.02", "plantation.n.01"]
mammalogist	["biologist.n.01", "zoologist.n.01"]
isoclinal	["line.n.11", "isogram.n.01"]
entelechy	["actuality.n.01", "being.n.01"]
venerableness	["honorableness.n.01", "righteousness.n.01"]
exabit	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
ironclad	["warship.n.01", "ship.n.01", "military_vehicle.n.01"]
embryologist	["doctor.n.01", "specialist.n.02"]
nonresident	["organism.n.01", "causal_agent.n.01", "person.n.01"]
glipizide	["antidiabetic.n.01", "medicine.n.02"]
gonioscopy	["examination.n.01", "investigation.n.02"]
kurus	["monetary_unit.n.01", "turkish_monetary_unit.n.01"]
kurus	["disorder.n.01", "nervous_disorder.n.01"]
vizsla	["pointer.n.04", "sporting_dog.n.01"]
hegemon	["state.n.04", "world_power.n.01"]
partita	["theme.n.03", "variation.n.03"]
partita	["suite.n.01", "musical_composition.n.01"]
tebibyte	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
introit	["musical_composition.n.01", "music.n.01"]
touchscreen	["computer_screen.n.01", "screen.n.03"]
arsenical	["drug.n.01", "agent.n.03"]
arsenical	["chemical.n.01", "pesticide.n.01"]
graviton	["gauge_boson.n.01", "boson.n.01"]
nominalist	["scholar.n.01", "philosopher.n.01"]
flavone	["compound.n.02", "chemical.n.01"]
bowdlerizer	["skilled_worker.n.01", "editor.n.01"]
heterometabolism	["organic_process.n.01", "metamorphosis.n.01"]
gangliocyte	["somatic_cell.n.01", "nerve_cell.n.01"]
latest	["news.n.01", "information.n.01"]
gimbal	["appliance.n.01", "device.n.01"]
yobibyte	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
obstruent	["consonant.n.01", "phone.n.02"]
trombiculid	["mite.n.02", "acarine.n.01"]
quartan	["symptom.n.01", "ague.n.02"]
covertness	["privacy.n.02", "isolation.n.01"]
thoracotomy	["incision.n.02", "cut.n.16"]
phalangist	["fascist.n.01", "rightist.n.01"]
cornstalk	["plant_organ.n.01", "stalk.n.02"]
varus	["affliction.n.02", "deformity.n.01"]
champerty	["activity.n.01", "wrongdoing.n.02"]
unsolvability	["property.n.02", "attribute.n.02"]
peeve	["temper.n.02", "feeling.n.01"]
anthropophagy	["cannibalism.n.01", "practice.n.01"]
uxoricide	["spouse.n.01", "husband.n.01"]
uxoricide	["murder.n.01", "homicide.n.01"]
zymology	["organic_chemistry.n.01", "biochemistry.n.01"]
arccosecant	["trigonometric_function.n.01", "function.n.01"]
classwork	["school_assignment.n.01", "assignment.n.05"]
memorability	["quality.n.01", "attribute.n.02"]
pebibit	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
candlepin	["bowling_pin.n.01", "bowling_equipment.n.01"]
ashram	["retreat.n.02", "area.n.01"]
waviness	["shape.n.01", "curvature.n.03"]
waviness	["irregularity.n.02", "unevenness.n.01"]
liposuction	["lipectomy.n.01", "plastic_surgery.n.01"]
theosophism	["content.n.05", "belief.n.01"]
heterosis	["tendency.n.03", "disposition.n.04"]
confit	["cut.n.06", "meat.n.01"]
know	["higher_cognitive_process.n.01", "knowing.n.01"]
hydrologist	["geologist.n.01", "scientist.n.01"]
scorper	["hand_tool.n.01", "graver.n.01"]
episcopate	["tenure.n.01", "term.n.02"]
episcopate	["district.n.01", "jurisdiction.n.02"]
episcopate	["group.n.01", "people.n.01"]
episcopate	["position.n.06", "occupation.n.01"]
clumping	["happening.n.01", "sound.n.04"]
phytochemical	["material.n.01", "chemical.n.01"]
stogie	["roll_of_tobacco.n.01", "cigar.n.01"]
aromatherapy	["medical_care.n.01", "therapy.n.01"]
hornbook	["textbook.n.01", "primer.n.01"]
schlep	["simpleton.n.01", "person.n.01"]
schlep	["travel.n.01", "journey.n.01"]
sights	["optical_instrument.n.01", "instrument.n.01"]
sights	["visual_percept.n.01", "percept.n.01"]
sights	["communication.n.02", "display.n.05"]
sights	["modality.n.03", "sensitivity.n.01", "exteroception.n.01", "sense.n.03"]
sights	["orientation.n.02", "position.n.03"]
sights	["capability.n.03", "compass.n.03"]
sights	["sensing.n.02", "look.n.02"]
sights	["indefinite_quantity.n.01", "large_indefinite_quantity.n.01"]
friendly	["military_personnel.n.01", "force.n.04"]
otorhinolaryngology	["medicine.n.01", "medical_science.n.01"]
tiptop	["state.n.02", "degree.n.02"]
tiptop	["top.n.02", "side.n.04"]
purlieu	["region.n.03", "geographical_area.n.01"]
souchong	["black_tea.n.01", "tea.n.05"]
expurgator	["skilled_worker.n.01", "editor.n.01"]
worldling	["organism.n.01", "inhabitant.n.01", "causal_agent.n.01", "person.n.01"]
chichi	["person.n.01", "dresser.n.02"]
chichi	["quality.n.01", "elegance.n.01"]
darmstadtium	["substance.n.01", "chemical_element.n.01"]
like	["category.n.02", "kind.n.01"]
gawker	["spectator.n.01", "perceiver.n.01"]
citrate	["organic_compound.n.01", "salt.n.01", "compound.n.02", "ester.n.01"]
feedstock	["raw_material.n.01", "material.n.01"]
oenomel	["liquid.n.01", "beverage.n.01", "food.n.01"]
unemployed	["group.n.01", "people.n.01"]
pebibyte	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
blogger	["organism.n.01", "causal_agent.n.01", "person.n.01"]
ancient	["causal_agent.n.01", "adult.n.01", "oldster.n.01", "organism.n.01", "person.n.01"]
thermochemistry	["natural_science.n.01", "chemistry.n.01"]
clopping	["happening.n.01", "sound.n.04"]
zettabit	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
provirus	["complementary_dna.n.01", "deoxyribonucleic_acid.n.01"]
tonometry	["measurement.n.01", "activity.n.01"]
waxiness	["quality.n.01", "attribute.n.02"]
brachycephalic	["person.n.01", "adult.n.01"]
leakiness	["state.n.02", "condition.n.01"]
streusel	["pastry.n.02", "baked_goods.n.01"]
streusel	["topping.n.01", "garnish.n.01"]
above	["section.n.01", "music.n.01", "writing.n.02"]
hostilities	["battle.n.01", "combat.n.01"]
hostilities	["unfriendliness.n.02", "disposition.n.01"]
hostilities	["state.n.02", "attribute.n.02"]
hostilities	["hate.n.01", "emotion.n.01"]
hostilities	["act.n.02", "action.n.01"]
dysphasia	["unfitness.n.01", "disability.n.01"]
shlep	["simpleton.n.01", "person.n.01"]
shlep	["travel.n.01", "journey.n.01"]
graphology	["discipline.n.01", "knowledge_domain.n.01"]
ultimate	["quality.n.01", "attribute.n.02"]
jodhpurs	["trouser.n.01", "garment.n.01"]
jodhpurs	["riding_boot.n.01", "boot.n.01"]
boatyard	["geographical_area.n.01", "place.n.02"]
sleepwear	["clothing.n.01", "covering.n.02", "consumer_goods.n.01"]
birdfeeder	["device.n.01", "instrumentality.n.03"]
medusoid	["invertebrate.n.01", "coelenterate.n.01"]
hypercatalectic	["line_of_poetry.n.01", "line.n.05"]
cinchonine	["alkaloid.n.01", "organic_compound.n.01"]
fluorescent	["lighting_fixture.n.01", "fixture.n.01"]
hiddenness	["privacy.n.02", "isolation.n.01"]
bombazine	["artifact.n.01", "fabric.n.01"]
northwestward	["direction.n.02", "compass_point.n.01"]
bellicosity	["aggressiveness.n.03", "disagreeableness.n.02"]
fleer	["organism.n.01", "causal_agent.n.01", "person.n.01"]
fleer	["contempt.n.03", "disrespect.n.01"]
catholicon	["remedy.n.02", "medicine.n.02"]
dishtowel	["piece_of_cloth.n.01", "towel.n.01"]
hemodynamics	["physiology.n.01", "biology.n.01"]
philomath	["scholar.n.01", "intellectual.n.01"]
starches	["foodstuff.n.02", "food.n.01"]
starches	["carbohydrate.n.01", "polysaccharide.n.01"]
starches	["compound.n.02", "formulation.n.01"]
ephemeral	["arthropod.n.01", "insect.n.01"]
agamete	["reproductive_structure.n.01", "plant_organ.n.01"]
latchet	["leather_strip.n.01", "strap.n.01"]
expounder	["person.n.01", "intellectual.n.01"]
scablands	["object.n.01", "land.n.02"]
recirculation	["circulation.n.06", "spread.n.10"]
zebibit	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
virilism	["feature.n.01", "sex_characteristic.n.01"]
malacologist	["biologist.n.01", "zoologist.n.01"]
theremin	["electronic_instrument.n.01", "musical_instrument.n.01"]
megestrol	["steroid_hormone.n.01", "progestin.n.01"]
conferrer	["good_person.n.01", "communicator.n.01", "person.n.01", "benefactor.n.01"]
earplug	["electro-acoustic_transducer.n.01", "earphone.n.01"]
earplug	["plug.n.01", "blockage.n.02"]
erotic	["person.n.01", "sensualist.n.01"]
curiosa	["book.n.01", "publication.n.01"]
agnomen	["name.n.01", "language_unit.n.01"]
defensibility	["ability.n.01", "capability.n.01"]
proteosome	["immunogen.n.01", "vaccine.n.01"]
funambulism	["diversion.n.01", "sport.n.01"]
azithromycin	["medicine.n.02", "antibacterial.n.01"]
gamine	["street_urchin.n.01", "urchin.n.01"]
gamine	["girl.n.01", "woman.n.01"]
blaxploitation	["mistreatment.n.01", "exploitation.n.02"]
phosphor	["synthetic.n.01", "compound.n.02"]
wayfaring	["motion.n.06", "travel.n.01"]
dibs	["claim.n.01", "assertion.n.01"]
quadrennium	["time_period.n.01", "fundamental_quantity.n.01"]
magnifico	["adult.n.01", "important_person.n.01"]
escapology	["discipline.n.01", "knowledge_domain.n.01"]
neoconservatism	["conservatism.n.01", "political_orientation.n.01"]
zettabyte	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
decantation	["transfusion.n.02", "action.n.01"]
scriptorium	["area.n.05", "room.n.01"]
employable	["worker.n.01", "person.n.01"]
rollerblading	["skating.n.01", "roller_skating.n.01"]
piggyback	["carry.n.01", "transportation.n.02"]
bilingualism	["cognition.n.01", "ability.n.02"]
yottabyte	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
trusty	["convict.n.01", "prisoner.n.01"]
lactate	["organic_compound.n.01", "salt.n.01", "compound.n.02", "ester.n.01"]
exotherm	["compound.n.02", "chemical.n.01"]
thanatopsis	["essay.n.01", "writing.n.02"]
cappuccino	["beverage.n.01", "coffee.n.01"]
overage	["possession.n.02", "assets.n.01"]
invariant	["feature.n.01", "property.n.04"]
luxuriation	["pleasure.n.04", "activity.n.01"]
bouffant	["hairdo.n.01", "hair.n.01"]
woodsiness	["quality.n.01", "attribute.n.02"]
abator	["organism.n.01", "causal_agent.n.01", "person.n.01"]
inchoative	["grammatical_relation.n.01", "aspect.n.04"]
swivet	["fear.n.01", "panic.n.01"]
frizz	["state.n.02", "condition.n.01"]
eponymy	["linguistic_process.n.01", "derivation.n.04"]
entrecote	["cut.n.06", "meat.n.01"]
freelancer	["worker.n.01", "person.n.01"]
neotony	["state.n.02", "attribute.n.02"]
arcsec	["trigonometric_function.n.01", "function.n.01"]
arity	["definite_quantity.n.01", "number.n.02"]
miso	["condiment.n.01", "spread.n.05"]
enophile	["appreciator.n.01", "person.n.01"]
epitope	["position.n.01", "site.n.02"]
beltway	["highway.n.01", "road.n.01"]
kibibit	["computer_memory_unit.n.01", "unit_of_measurement.n.01"]
rabidness	["liveliness.n.02", "exuberance.n.02"]
manana	["time.n.05", "future.n.01"]
seasonal	["worker.n.01", "person.n.01"]
wattmeter	["measuring_instrument.n.01", "instrument.n.01"]
mariticide	["murder.n.01", "homicide.n.01"]
petroglyph	["creating_by_removal.n.01", "carving.n.02"]
acetin	["acetate.n.01", "salt.n.01"]
telescopy	["art.n.03", "superior_skill.n.01"]
gazillion	["indefinite_quantity.n.01", "large_indefinite_quantity.n.01"]
scrubbiness	["inferiority.n.02", "quality.n.02"]
rustiness	["state.n.02", "condition.n.01"]
rustiness	["unskillfulness.n.01", "awkwardness.n.01"]
sleaziness	["unrighteousness.n.01", "dishonorableness.n.01"]
sleaziness	["quality.n.01", "inelegance.n.01"]
associateship	["position.n.06", "occupation.n.01"]
jumpstart	["act.n.02", "action.n.01"]
instrumentalism	["pragmatism.n.01", "philosophical_doctrine.n.01"]
cheapjack	["seller.n.01", "peddler.n.01"]
paleographist	["anthropologist.n.01", "archeologist.n.01"]
mycophagy	["consumption.n.01", "eating.n.01"]
minibus	["public_transport.n.01", "bus.n.01"]
bifocals	["optical_instrument.n.01", "spectacles.n.01"]
peradventure	["cognitive_state.n.01", "doubt.n.01"]
vaporiser	["device.n.01", "instrumentality.n.03"]
midweek	["weekday.n.01", "day_of_the_week.n.01"]
midweek	["time_period.n.01", "fundamental_quantity.n.01"]
gainfulness	["advantage.n.01", "profit.n.02"]
downshift	["action.n.01", "change.n.03"]
greyback	["soldier.n.01", "confederate.n.01", "confederate_soldier.n.01"]
greyback	["sandpiper.n.01", "dowitcher.n.01", "shorebird.n.01", "snipe.n.01"]
herbarium	["collection.n.01", "group.n.01"]
snowboarder	["person.n.01", "skidder.n.01"]
abort	["termination.n.05", "change_of_state.n.01"]
ogee	["cyma.n.01", "molding.n.02"]
deco	["artistic_movement.n.01", "movement.n.04"]
postdoctoral	["aid.n.03", "grant-in-aid.n.02", "grant.n.01"]
webmaster	["skilled_worker.n.01", "technician.n.01"]
prickliness	["texture.n.01", "roughness.n.01"]
gynarchy	["political_system.n.01", "social_group.n.01"]
cardinality	["definite_quantity.n.01", "number.n.02"]
snowboard	["board.n.03", "sheet.n.06"]
langlaufer	["athlete.n.01", "skier.n.01"]
velar	["consonant.n.01", "phone.n.02"]
dideoxyinosine	["antiviral.n.01", "medicine.n.02"]
fibrosity	["quality.n.01", "attribute.n.02"]
valdecoxib	["anti-inflammatory.n.01", "cox-2_inhibitor.n.01"]
catheterisation	["operation.n.06", "medical_procedure.n.01"]
dolichocephalic	["person.n.01", "adult.n.01"]
